"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)","WHEAT AREA (1000 ha)","WHEAT PRODUCTION (1000 tons)","WHEAT YIELD (Kg per ha)","KHARIF SORGHUM AREA (1000 ha)","KHARIF SORGHUM PRODUCTION (1000 tons)","KHARIF SORGHUM YIELD (Kg per ha)","RABI SORGHUM AREA (1000 ha)","RABI SORGHUM PRODUCTION (1000 tons)","RABI SORGHUM YIELD (Kg per ha)","SORGHUM AREA (1000 ha)","SORGHUM PRODUCTION (1000 tons)","SORGHUM YIELD (Kg per ha)","PEARL MILLET AREA (1000 ha)","PEARL MILLET PRODUCTION (1000 tons)","PEARL MILLET YIELD (Kg per ha)","MAIZE AREA (1000 ha)","MAIZE PRODUCTION (1000 tons)","MAIZE YIELD (Kg per ha)","FINGER MILLET AREA (1000 ha)","FINGER MILLET PRODUCTION (1000 tons)","FINGER MILLET YIELD (Kg per ha)","BARLEY AREA (1000 ha)","BARLEY PRODUCTION (1000 tons)","BARLEY YIELD (Kg per ha)","CHICKPEA AREA (1000 ha)","CHICKPEA PRODUCTION (1000 tons)","CHICKPEA YIELD (Kg per ha)","PIGEONPEA AREA (1000 ha)","PIGEONPEA PRODUCTION (1000 tons)","PIGEONPEA YIELD (Kg per ha)","MINOR PULSES AREA (1000 ha)","MINOR PULSES PRODUCTION (1000 tons)","MINOR PULSES YIELD (Kg per ha)","GROUNDNUT AREA (1000 ha)","GROUNDNUT PRODUCTION (1000 tons)","GROUNDNUT YIELD (Kg per ha)","SESAMUM AREA (1000 ha)","SESAMUM PRODUCTION (1000 tons)","SESAMUM YIELD (Kg per ha)","RAPESEED AND MUSTARD AREA (1000 ha)","RAPESEED AND MUSTARD PRODUCTION (1000 tons)","RAPESEED AND MUSTARD YIELD (Kg per ha)","SAFFLOWER AREA (1000 ha)","SAFFLOWER PRODUCTION (1000 tons)","SAFFLOWER YIELD (Kg per ha)","CASTOR AREA (1000 ha)","CASTOR PRODUCTION (1000 tons)","CASTOR YIELD (Kg per ha)","LINSEED AREA (1000 ha)","LINSEED PRODUCTION (1000 tons)","LINSEED YIELD (Kg per ha)","SUNFLOWER AREA (1000 ha)","SUNFLOWER PRODUCTION (1000 tons)","SUNFLOWER YIELD (Kg per ha)","SOYABEAN AREA (1000 ha)","SOYABEAN PRODUCTION (1000 tons)","SOYABEAN YIELD (Kg per ha)","OILSEEDS AREA (1000 ha)","OILSEEDS PRODUCTION (1000 tons)","OILSEEDS YIELD (Kg per ha)","SUGARCANE AREA (1000 ha)","SUGARCANE PRODUCTION (1000 tons)","SUGARCANE YIELD (Kg per ha)","COTTON AREA (1000 ha)","COTTON PRODUCTION (1000 tons)","COTTON YIELD (Kg per ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"144","2016","10","Rajasthan","Bhilwara","0.52","1.18","2289.0","139.8","503.06","3599.0","45.15","35.5","786.0","-1.0","0.0","0.0","45.15","35.5","786.0","2.22","3.09","1393.0","173.08","265.21","1532.0","-1.0","-1.0","-1.0","26.31","79.42","3019.0","33.41","37.46","1121.0","0.02","0.03","2000.0","109.81","61.44","560.0","9.38","8.92","950.0","11.12","3.07","276.0","39.59","49.24","1244.0","-1.0","-1.0","-1.0","0.03","0.03","967.0","0.04","0.04","854.0","-1.0","-1.0","-1.0","4.93","4.01","812.0","-1.0","-1.0","-1.0","0.03","0.17","5921.0","31.0","18.0","577.0","0.7","1.54","2.24","0.0","0.07","42.0"
"144","2017","10","Rajasthan","Bhilwara","0.58","1.36","2366.0","102.8","341.13","3318.0","40.35","40.37","1001.0","-1.0","0.0","0.0","40.35","40.37","1001.0","2.31","2.49","1080.0","158.94","361.78","2276.0","-1.0","-1.0","-1.0","21.36","63.04","2951.0","34.02","38.51","1132.0","0.02","0.03","1556.0","121.88","33.77","277.0","9.1","11.04","1214.0","10.07","2.41","239.0","21.65","27.13","1253.0","-1.0","-1.0","-1.0","0.02","0.01","333.0","0.04","0.04","1000.0","-1.0","-1.0","-1.0","5.32","5.76","1082.0","-1.0","-1.0","-1.0","0.04","0.29","7326.0","41.0","5.0","118.0","0.64","1.54","2.19","0.05","0.06","33.0"
"145","2016","10","Rajasthan","Bikaner","0.01","0.02","2250.0","113.18","282.65","2497.0","0.04","0.03","610.0","-1.0","0.0","0.0","0.04","0.03","610.0","117.99","80.35","681.0","0.0","0.0","2000.0","-1.0","-1.0","-1.0","4.52","8.42","1862.0","226.59","193.59","854.0","0.01","0.01","1000.0","424.75","203.15","478.0","174.95","467.36","2671.0","9.4","2.74","291.0","71.79","77.04","1073.0","-1.0","-1.0","-1.0","0.1","0.12","1204.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.0","0.01","7150.0","1.0","0.0","596.0","0.35","1.48","1.83","0.0","1.08","829.0"
"145","2017","10","Rajasthan","Bikaner","-1.0","-1.0","-1.0","108.3","271.41","2506.0","2.05","1.2","583.0","-1.0","0.0","0.0","2.05","1.2","583.0","124.37","60.14","484.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","4.83","10.66","2208.0","255.78","234.96","919.0","0.01","0.01","1000.0","369.54","141.99","384.0","220.55","514.1","2331.0","12.35","4.43","359.0","101.33","128.81","1271.0","-1.0","-1.0","-1.0","0.12","0.16","1303.0","0.0","0.0","1000.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.0","0.03","7025.0","2.0","0.0","99.0","0.41","1.39","1.8","0.01","1.15","717.0"
"146","2016","10","Rajasthan","Bundi","44.35","118.52","2673.0","162.25","705.98","4351.0","0.17","0.1","605.0","-1.0","0.0","0.0","0.17","0.1","605.0","1.13","1.35","1195.0","30.34","87.4","2881.0","-1.0","-1.0","-1.0","1.04","3.43","3297.0","7.17","10.82","1509.0","0.07","0.05","692.0","123.74","88.61","716.0","0.44","0.91","2045.0","1.61","0.54","334.0","38.86","54.71","1408.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.06","0.1","1672.0","-1.0","-1.0","-1.0","64.13","65.12","1016.0","-1.0","-1.0","-1.0","1.01","8.61","8495.0","0.0","0.0","596.0","0.5","2.52","3.01","0.12","0.04","9.0"
"146","2017","10","Rajasthan","Bundi","47.01","133.1","2832.0","146.75","605.43","4126.0","0.1","0.06","586.0","-1.0","0.0","0.0","0.1","0.06","586.0","0.92","1.57","1706.0","22.94","79.26","3455.0","-1.0","-1.0","-1.0","1.89","6.28","3324.0","50.6","64.82","1281.0","0.01","0.01","714.0","149.72","96.57","645.0","0.39","0.76","1953.0","1.01","0.29","290.0","20.63","28.41","1377.0","-1.0","-1.0","-1.0","0.0","0.0","1000.0","0.03","0.04","1357.0","-1.0","-1.0","-1.0","23.94","34.01","1421.0","-1.0","-1.0","-1.0","0.77","6.01","7853.0","0.0","0.0","99.0","0.52","2.42","2.94","0.05","0.04","7.0"
"147","2016","10","Rajasthan","Chittorgarh","0.86","1.17","1369.0","157.88","637.03","4035.0","13.69","12.45","909.0","-1.0","0.0","0.0","13.69","12.45","909.0","0.23","0.23","996.0","111.41","162.06","1455.0","-1.0","-1.0","-1.0","9.58","34.5","3602.0","7.03","10.65","1514.0","0.01","0.0","333.0","10.02","4.52","452.0","16.79","14.17","844.0","2.41","0.25","102.0","41.39","64.89","1568.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.12","0.09","746.0","-1.0","-1.0","-1.0","118.32","96.16","813.0","-1.0","-1.0","-1.0","1.45","10.98","7567.0","10.0","7.0","728.0","0.16","1.74","1.9","0.01","0.53","24.0"
"147","2017","10","Rajasthan","Chittorgarh","1.08","2.48","2301.0","153.59","625.98","4076.0","13.33","14.43","1083.0","-1.0","0.0","0.0","13.33","14.43","1083.0","0.03","0.03","871.0","106.83","325.82","3050.0","-1.0","-1.0","-1.0","9.68","31.75","3280.0","17.05","25.04","1469.0","0.0","0.0","250.0","13.07","7.68","588.0","18.59","31.4","1689.0","2.03","0.78","385.0","35.07","53.12","1515.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.17","0.13","796.0","-1.0","-1.0","-1.0","116.62","96.68","829.0","-1.0","-1.0","-1.0","1.78","12.86","7248.0","12.0","1.0","118.0","0.14","5.35","5.49","0.01","3.75","23.0"
"148","2016","10","Rajasthan","Churu","-1.0","-1.0","-1.0","35.14","71.74","2041.0","0.0","0.0","1000.0","-1.0","0.0","0.0","0.0","0.0","1000.0","258.88","127.43","492.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","6.67","15.98","2394.0","219.11","76.13","347.0","-1.0","-1.0","-1.0","602.74","179.84","298.0","52.51","134.04","2553.0","7.02","1.56","222.0","54.62","55.33","1013.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.03","0.01","400.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1.0","1.0","596.0","0.04","1.1","1.14","0.0","0.98","210.0"
"148","2017","10","Rajasthan","Churu","-1.0","-1.0","-1.0","33.49","73.28","2188.0","0.01","0.0","600.0","-1.0","0.0","0.0","0.01","0.0","600.0","266.15","106.08","399.0","0.0","0.0","2000.0","-1.0","-1.0","-1.0","7.73","17.79","2302.0","107.09","41.02","383.0","-1.0","-1.0","-1.0","514.3","151.27","294.0","63.45","144.69","2280.0","7.57","1.21","160.0","72.9","75.82","1040.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","0.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","-1.0","1.0","0.0","61.0","0.05","0.58","0.63","-1.0","0.46","259.0"
