Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
80,2017,5,Karnataka,Dakshina Kannada,33.16,90.64,2733.0,57.367132177029035,244.49027588170208,2854.8265372913684,6.9948247542837905,8.062746617975492,1207.9240741229492,10.474913396335545,0.0,0.0,15.791610019678142,8.171011752178629,850.8381166233542,4.725430820804036,17.29775036513908,1469.6424374115543,16.330691107697923,49.71074419703409,3511.294889626346,10.585881420900037,9.633577632211768,1449.278160468313,2.976190095112583,7.512341079247662,2192.4692506865777,16.765175352854456,25.241474748942302,980.1630699376717,12.222943033929702,10.91864513620547,1097.7231345130335,0.98,0.43,437.0,11.520359091968793,24.4227494024297,1481.2516474844604,0.28,0.25,878.0,9.86803726127404,16.615786110751742,936.44457489126,0.8892726631279846,0.1515892248391708,607.2053110725194,2.1425424018326784,7.071969379546829,865.6889611982895,0.5787886538104345,0.2175177824646255,743.5813041888865,0.26445742656841276,0.9194255069809003,1098.9978785886183,45.54566823418973,51.1780198969559,1083.4122457284088,23.523211610542177,43.25494401275421,1911.9103969906605,7.751866354047834,46.8057223188537,5907.76148497804,39.19429091478247,22.185963736324595,294.865832524291,41.1,2.16,43.26,4.762160494130273,0.3986459202667447,0.0
81,2016,5,Karnataka,Uttara Kannada,66.67,130.86,1963.0,48.45474435099817,219.2132469149227,2512.628045032744,4.797779182033814,4.91684676034653,1091.5416309233271,17.107254622173365,0.0,0.0,20.884416028058006,5.062085629277789,971.9678719504795,17.67046401006874,12.830926063706045,1564.6048398776159,5.66,30.68,5425.0,1.481826253690997,2.311385381921923,1267.9430918814444,2.4265919770524818,9.570207515469491,1621.6974965698912,0.0,0.0,500.0,0.01,0.01,1000.0,1.5,0.49,327.0,1.71,3.5,2049.0,5.6389381464174715,0.9968121922343869,561.4882267377752,11.989712202299057,14.292672117495783,791.0099171665886,0.39558392370298634,0.8721576169780576,601.9041448121018,3.6334527747430156,5.653900558490193,545.3386319722181,1.1399706517873653,0.766354475619238,526.7308007050807,0.01,0.0,286.0,0.0,0.0,750.0,28.718769417744774,119.93466598620091,969.2563087912772,5.94,37.25,6270.0,1.0,1.0,549.0,9.74,0.17,9.91,4.762160494130273,0.04,0.0
81,2017,5,Karnataka,Uttara Kannada,62.87,124.24,1976.0,46.1983104184139,212.91596838961482,1843.3921961225087,0.6902519246443717,6.794321491599155,1161.8541143374441,0.0,0.0,1000.0,0.0,0.0,1000.0,16.02536169111295,17.363922714519248,1510.41314194128,9.87,53.79,5451.0,6.656738087739626,5.4472850756786215,1300.8218751349125,3.3645239638666125,9.08832419293173,3270.146280097207,0.0,0.0,667.0,0.0,0.0,1000.0,1.87,0.76,404.0,1.68,3.55,2111.0,0.0,0.0,1000.0,7.6990034869957285,15.644038831938019,670.462332190925,0.13790554714610437,0.9464291949213646,755.2539822957381,2.2225155772831497,3.2446933545816705,541.7250721724979,0.07377300005828857,0.1833856845716184,499.7063587051481,0.01,0.0,600.0,0.01,0.01,1571.0,32.06913404759401,137.7514176477721,2262.7836639856305,10.247316687670413,91.63165401878123,7282.622819289151,1.0,1.0,648.0,9.95,0.16,10.12,4.762160494130273,0.03,0.0
82,2016,5,Karnataka,Kodagu,27.93,67.9,2431.0,61.34114857955091,232.6991779873074,2866.517714269944,6.136493379022525,6.504621309217669,1093.6476588492958,12.476377772678738,0.0,0.0,17.44056626401967,6.488695752537012,907.6401737413935,12.615051099987681,12.031679730027378,1199.2678415476814,3.86,21.39,5538.0,4.285492930645617,6.928597572561046,1406.1252254483384,2.7081495901847497,7.482043960149404,1758.5164181689456,19.74818580801346,20.29703318301266,1070.22052128339,9.722271729509075,9.257037026898843,973.7030575875862,0.02,0.0,200.0,0.06,0.03,500.0,3.7135231281566305,0.621998723301175,544.1030865235657,11.699856048815434,15.053776289152779,879.8741773945521,0.22672396153122065,0.47680271935468,689.1383565755452,3.6584856371677246,7.605218355034765,673.0822508314238,1.199344400061939,0.40337652493491305,615.0051229440206,0.9328327445129503,0.769510572990967,928.8600609907836,39.80399627330726,48.440132393276144,1111.030939328433,14.66172184714681,76.42857039215548,1847.5362037857346,9.41657521208274,71.76622807132438,5750.947330334484,36.208310116794564,15.524588684984337,258.6397896829111,7.11,0.29,7.4,0.02,0.4499500751032883,0.0
82,2017,5,Karnataka,Kodagu,27.17,64.26,2365.0,55.76037766891619,224.86443341621526,2813.529611501578,6.245029684511138,6.149420508761182,1121.3238935938123,12.766703358792746,0.0,0.0,18.220339554097247,6.217353594788847,968.4648100202104,11.623202622751563,8.715692419359925,1357.5409621511105,3.56,26.74,7516.0,2.4741467953503076,4.8677325650647845,1485.101591385512,2.718686098374597,7.99550900648299,1673.4985092213042,19.753142849496143,19.451765583776982,1125.3363906384775,8.945331016685117,8.086619589260764,1036.0288098159751,0.01,0.0,250.0,0.06,0.07,1111.0,3.884171730012852,0.5707236012902115,625.8063081872428,11.804890703785194,14.21017535223956,844.9639206431833,0.2142967059029388,0.4858275569509374,773.0508923179177,2.967239584688946,6.528786985741419,701.3033601743648,1.1391656973553452,0.24839494971780596,627.6875186000194,0.469790562254218,0.6719365593520052,1096.409107949431,40.45531393508895,48.23680077680706,1286.299342327509,14.976860370103974,76.68671392002707,1845.8856617660208,9.157927248306958,72.34589168550164,5910.250266662206,34.66559087365812,15.676588938592516,276.38308051241887,7.43,0.3,7.73,0.02,2.0612288730498327,0.0
83,2016,11,Tamil Nadu,Kancheepuram,72.62,288.04,3967.0,41.77060334006336,234.49043644184616,2536.5535801746882,1.7730511806444653,0.001715288506517254,468.83825362286393,0.0,0.0,333.0,0.0,0.0,333.0,0.1,0.21,2124.0,0.02,0.07,4353.0,0.33,0.74,2236.0,3.2918388603218656,10.43676688805855,3235.03836291939,0.05,0.02,469.0,0.04,0.03,651.0,5.06,2.65,524.0,9.63,32.13,3335.0,0.91,0.42,465.0,5.258682063802542,10.600176166328765,866.906571245136,0.8892726631279846,0.5416075758408283,644.2011320963004,2.237979743218888,4.986138623953366,574.0461811187396,0.3906635077176759,0.5806849026577834,585.7792874975631,0.01,0.01,857.0,49.66946677897691,46.46320974050923,1318.6293312312057,27.275740649935653,78.70300667196739,2248.665384454389,2.05,17.83,8699.0,0.0,0.0,180.0,6.51,0.92,7.43,4.762160494130273,0.01,0.0
83,2017,11,Tamil Nadu,Kancheepuram,90.61,394.58,4354.0,48.335036417797994,239.88415142750023,2435.0398052120763,0.01,0.01,1200.0,0.0,0.0,1000.0,0.01,0.01,1167.0,0.04,0.1,2209.0,10.091007186908517,29.583981447907313,6402.237325263023,0.17,0.69,4012.0,3.1644655602293774,11.447524572108392,4887.225820639675,14.028117301210301,18.632637963845795,940.484815877981,0.02,0.02,1059.0,2.79,1.94,697.0,10.39,39.24,3777.0,0.79,0.45,567.0,8.521247829764405,4.352080629309512,910.5308984663014,0.4500965106671373,0.1998228252629417,848.1702199859735,3.0751602144619627,5.6315525938571795,975.4430900261145,1.019752020014874,0.5806849026577834,864.4242575318905,0.01,0.02,2000.0,71.06715512055219,41.07381312960524,1566.7433060508238,21.741828778174913,47.781268114930015,1728.730643353434,1.66,16.61,10000.0,32.67494470416233,8.456624969783377,156.2662233482348,5.359896373942576,14.076797771697645,19.43601301798904,1.0449548111877647,0.0,19.416721811795085
84,2016,11,Tamil Nadu,South Arcot Cuddalore,131.91,459.91,3487.0,39.289731992559695,235.9794998887499,2449.8257728577732,0.01,0.0,800.0,0.01,0.0,375.0,0.01,0.01,538.0,4.24,17.15,4043.0,20.56,33.34,1622.0,0.16,0.29,1811.0,4.013622807974581,12.280713014761567,4188.053527743965,5.293426852109434,31.142426122185988,954.1551446526028,0.15,0.1,656.0,60.87,32.08,527.0,8.6,64.94,7554.0,3.97,1.81,455.0,6.235966980151346,9.337499557099648,1151.4058896927663,0.8892726631279846,0.18110789403817762,468.73898049488434,0.16463272268113838,0.49288689788465945,647.4173559848978,1.019752020014874,0.5806849026577834,377.3802611019737,0.01,0.01,556.0,61.81450669955608,64.37001052939684,1322.410319904568,38.65022166477719,136.24906476179152,2888.761738422242,21.63,209.05,9666.0,6.0,1.0,131.0,36.24,6.95,43.19,4.762160494130273,0.07,0.0
84,2017,11,Tamil Nadu,South Arcot Cuddalore,131.22,564.54,4302.0,49.899796923360505,243.24719797676744,3028.8660179496064,0.02,0.02,1118.0,14.390308863824291,0.0,0.0,0.02,0.02,1118.0,5.22,19.88,3811.0,18.86,123.52,6551.0,0.18,0.7,3899.0,2.868400037351436,11.222786743745289,3616.5123324857213,15.373266317621855,29.616626374869305,921.0936037188189,0.07,0.07,1090.0,61.26,51.0,832.0,10.12,74.38,7350.0,3.19,1.71,536.0,0.0,16.68836095470806,1308.5290774313994,0.8892726631279846,0.5776144235723428,643.541188204069,0.01,0.01,693.0,1.019752020014874,0.5806849026577834,851.965780203168,0.0,0.0,1333.0,73.06069719466318,49.63197752771919,1681.4644969915475,32.84736886247191,161.53396904024365,2193.865098520533,18.75,209.97,11200.0,11.0,0.0,0.0,8.452993221219478,10.981143377657135,19.436180957662998,4.762160494130273,0.04,19.416721811795085
85,2016,11,Tamil Nadu,North Arcot Vellore,44.57,187.01,4196.0,55.07403518484019,233.74706339431305,3045.954483015652,5.17,6.79,1313.0,0.18,0.06,341.0,5.35,6.85,1281.0,2.46,6.99,2840.0,3.1,13.88,4472.0,4.52,13.63,3015.0,3.046400224053179,7.304358282237629,3219.5274238501042,0.02,0.01,471.0,13.38,12.54,938.0,11.2,5.48,490.0,34.17,81.45,2383.0,0.36,0.14,383.0,10.298774805299711,7.457324498902324,921.2490149399817,0.036991881270736826,1.0495144033104964,577.8759079388276,0.29,0.11,373.0,0.023091665895762503,0.18091182205284895,719.7088901850617,0.01,0.0,500.0,63.37449654977425,44.794885586729606,1301.7943473926828,41.510603146851416,24.31491768296206,1986.3085573198568,5.94,56.18,9464.0,6.0,2.0,309.0,16.8,5.09,21.89,0.0,0.06,1.0
85,2017,11,Tamil Nadu,North Arcot Vellore,54.94,255.17,4645.0,51.14434999516723,228.87695993745814,2668.087752529449,4.65,7.14,1536.0,0.18,0.19,1079.0,4.83,7.33,1519.0,1.35,3.54,2619.0,3.26,28.35,8699.0,6.78,23.97,3535.0,4.16408085194653,9.27360554692293,4389.374089130861,0.01,0.01,1000.0,9.88,11.35,1149.0,15.2,12.02,791.0,29.84,78.56,2633.0,0.19,0.11,596.0,0.0,16.68836095470806,762.3642533165762,0.3367105497253817,0.8136044570126728,887.9566249773782,0.23,0.09,376.0,0.20437285081031575,0.5806849026577834,770.0960834470585,0.01,0.01,1857.0,61.83011051413736,23.941513940158075,1665.7792821681182,27.9863533869241,24.809553166059118,1778.5405657534805,5.2,46.29,8900.0,6.0,0.0,1.0,5.542115048740261,13.894374123775222,19.436073016666356,7.660112709464087,0.02,19.416721811795085
86,2016,11,Tamil Nadu,Salem,18.68,94.74,5072.0,44.8856992751808,207.81986078656917,2621.3238016860796,21.28,23.63,1110.0,5.25,4.56,869.0,26.53,28.19,1063.0,1.19,2.07,1744.0,30.36,237.71,7829.0,5.01,9.56,1907.0,3.067205901724215,10.297490775065867,3011.312598917958,0.02,0.01,588.0,4.27,2.03,476.0,22.76,17.47,768.0,15.77,27.63,1753.0,0.35,0.2,565.0,10.64749741884938,11.508777992374974,628.6100749054759,0.07644585938768955,0.6426125444865534,695.9705434664835,0.91,0.28,310.0,0.4093843219445503,0.011805453791282616,589.3563983502182,0.01,0.0,667.0,36.477025369138005,26.906350074159946,1673.2477359162947,27.0201330663256,104.42762747239442,2253.251218146259,5.96,42.72,7167.0,13.0,4.0,333.0,8.99,16.95,25.93,3.4503013470325214,0.88,5.0
